X,Результаты модуля (FunctionWithModule)
-5.4863,8416.842616687818
-5.4852,8194.479277964805
-5.4841,7975.856733777304
-5.483,7760.91608020828
-5.4818999999999996,7549.599320951074
-5.4808,7341.84935311265
-5.4797,7137.60995324541
-5.4786,6936.825763606896
-5.4775,6739.4422786397745
-5.4764,6545.4058316703195
-5.4753,6354.663581821826
-5.4742,6167.163501138736
-5.4731,5982.854361917815
-5.4719999999999995,5801.685724242895
-5.4709,5623.607923720752
-5.4698,5448.572059412481
-5.4687,5276.529981959873
-5.4676,5107.434281901182
-5.4665,4941.2382781740225
-5.4654,4777.896006802574
-5.4643,4617.3622097654015
-5.4632,4459.592324040636
-5.4620999999999995,4304.54247082684
-5.461,4152.169444935006
-5.4599,4002.430704349262
-5.4588,3855.284359955238
-5.4577,3710.689165429711
-5.4566,3568.6045072925817
-5.4555,3428.990395115773
-5.4544,3291.807451887803
-5.4533,3157.0169045312696
-5.4521999999999995,3024.5805745701764
-5.4511,2894.4608689450683
-5.45,2766.6207709731893
-5.4489,2641.0238314521753
-5.4478,2517.6341599032835
-5.4467,2396.416415953187
-5.4456,2277.3358008517544
-5.4445,2160.3580491229327
-5.4434000000000005,2045.4494203476806
-5.4422999999999995,1932.5766910755594
-5.4412,1821.7071468629877
-5.4401,1712.8085744383425
-5.439,1605.8492539880065
-5.4379,1500.7979515641064
-5.4368,1397.623911611301
-5.4357,1296.2968496103438
-5.4346,1196.7869448367587
-5.4335,1099.0648332328
-5.4324,1003.1016003903791
-5.4313,908.868774644257
-5.4302,816.3383202720071
-5.4291,725.4826308006881
-5.428,636.2745224172086
-5.4269,548.6872274818445
-5.4258,462.69438814188584
-5.4247,378.2700500450979
-5.4236,295.38865615065407
-5.4225,214.02504063570277
-5.4214,134.1544228972168
-5.4203,55.75240164596026
-5.4192,-21.205050907578887
-5.4181,-96.74159477754462
-5.417,-170.88052783843486
-5.4159,-243.6447913738682
-5.4148,-315.05697553950125
-5.4137,-385.1393247417915
-5.4126,-453.91374293399747
-5.4115,-521.4017988300232
-5.4104,-587.6247310386298
-5.4093,-652.6034531182129
-5.4082,-716.3585585540521
-5.4071,-778.9103256590588
-5.406,-840.278722399203
-5.4049,-900.4834111450117
-5.4038,-959.543753350015
-5.4027,-1017.4788141578694
-5.4016,-1074.3073669383698
-5.4005,-1130.0478977545747
-5.3994,-1184.7186097614335
-5.3983,-1238.3374275370697
-5.3972,-1290.9220013480797
-5.3961,-1342.489711349688
-5.395,-1393.057671721826
-5.3939,-1442.6427347422168
-5.3928,-1491.2614947975412
-5.3917,-1538.9302923330931
-5.3906,-1585.665217743043
-5.3895,-1631.4821152010431
-5.3884,-1676.3965864329098
-5.3873,-1720.4239944320123
-5.3862,-1763.5794671181893
-5.3850999999999996,-1805.8779009414402
-5.384,-1847.3339644307373
-5.3829,-1887.9621016895521
-5.3818,-1927.776535837962
-5.3807,-1966.791272403218
-5.3796,-2005.0201026588832
-5.3785,-2042.4766069135976
-5.3774,-2079.1741577503603
-5.3763,-2115.1259232167404
-5.3751999999999995,-2150.34486996736
-5.3741,-2184.8437663589066
-5.373,-2218.6351854986683
-5.3719,-2251.7315082472146
-5.3708,-2284.144926176039
-5.3697,-2315.8874444808116
-5.3686,-2346.970884851086
-5.3675,-2377.406888296772
-5.3664,-2407.2069179325567
-5.3652999999999995,-2436.382261720555
-5.3642,-2464.944035171936
-5.3631,-2492.9031840084645
-5.362,-2520.2704867839702
-5.3609,-2547.0565574670804
-5.3598,-2573.2718479852633
-5.3587,-2598.9266507311318
-5.3576,-2624.0311010315268
-5.3565,-2648.5951795797937
-5.3553999999999995,-2672.628714832063
-5.3543,-2696.1413853680147
-5.3532,-2719.1427222166317
-5.3521,-2741.642111147548
-5.351,-2763.648794928561
-5.3499,-2785.1718755497495
-5.3488,-2806.2203164148573
-5.3477,-2826.8029445003476
-5.3466,-2846.928452482578
-5.3454999999999995,-2866.605400833891
-5.3444,-2885.84221988772
-5.3433,-2904.6472118735546
-5.3422,-2923.0285529219213
-5.3411,-2940.994295040182
-5.34,-2958.552368059296
-5.3389,-2975.710581552226
-5.3378,-2992.4766267244127
-5.3367,-3008.858078276555
-5.3356,-3024.862396240504
-5.3345,-3040.4969277882547
-5.3334,-3055.768909014917
-5.3323,-3070.685466695676
-5.3312,-3085.253620017469
-5.3301,-3099.4802822855463
-5.329,-3113.3722626055387
-5.3279,-3126.9362675411085
-5.3268,-3140.1789027480368
-5.3257,-3153.1066745846456
-5.3246,-3165.725991699236
-5.3235,-3178.0431665947713
-5.3224,-3190.0644171712925
-5.3213,-3201.795868246326
-5.3202,-3213.2435530536095
-5.3191,-3224.4134147206737
-5.318,-3235.3113077253083
-5.3169,-3245.9429993316385
-5.3158,-3256.3141710058253
-5.3147,-3266.43041981181
-5.3136,-3276.297259787611
-5.3125,-3285.9201233021627
-5.3114,-3295.304362393306
-5.3103,-3304.4552500871146
-5.3092,-3313.3779816988535
-5.3081,-3322.0776761158436
-5.307,-3330.55937706274
-5.3059,-3338.8280543492433
-5.3048,-3346.888605100643
-5.3037,-3354.745854971549
-5.3026,-3362.404559343078
-5.3015,-3369.869404503655
-5.3004,-3377.1450088137835
-5.2993,-3384.235923855164
-5.2982,-3391.146635564184
-5.2971,-3397.8815653503107
-5.296,-3404.4450711994764
-5.2949,-3410.84144876271
-5.2938,-3417.0749324304797
-5.2927,-3423.149696392577
-5.2916,-3429.0698556843663
-5.2905,-3434.839467219162
-5.2894,-3440.4625308070904
-5.2883,-3445.942990160943
-5.2872,-3451.2847338888473
-5.2861,-3456.491596474337
-5.285,-3461.567359243861
-5.2839,-3466.5157513219706
-5.2828,-3471.3404505745184
-5.2817,-3476.045084539984
-5.2806,-3480.6332313492367
-5.2795,-3485.108420633862
-5.2783999999999995,-3489.474134423293
-5.2773,-3493.7338080310947
-5.2762,-3497.890830930375
-5.2751,-3501.9485476187283
-5.274,-3505.9102584728566
-5.2729,-3509.7792205930136
-5.2718,-3513.5586486376046
-5.2707,-3517.251715648021
-5.2696,-3520.861553863948
-5.2684999999999995,-3524.3912555294105
-5.2674,-3527.843873689704
-5.2663,-3531.222422979265
-5.2652,-3534.529880401007
-5.2641,-3537.769186096983
-5.263,-3540.9432441107447
-5.2619,-3544.0549231415425
-5.2608,-3547.107057290521
-5.2597,-3550.1024467991774
-5.2585999999999995,-3553.043858780216
-5.2575,-3555.934027940888
-5.2564,-3558.7756572992716
-5.2553,-3561.5714188933516
-5.2542,-3564.3239544832395
-5.2531,-3567.0358762468345
-5.252,-3569.7097674687543
-5.2509,-3572.34818322315
-5.2498,-3574.9536510501957
-5.2486999999999995,-3577.5286716266955
-5.2476,-3580.0757194308044
-5.2465,-3582.5972434011937
-5.2454,-3585.0956675907278
-5.2443,-3587.5733918147757
-5.2432,-3590.0327922945785
-5.2421,-3592.4762222955223
-5.241,-3594.906012760763
-5.2399000000000004,-3597.3244729401144
-5.2387999999999995,-3599.733891014736
-5.2377,-3602.1365347173346
-5.2366,-3604.534651948424
-5.2355,-3606.930471388714
-5.2344,-3609.326203107639
-5.2333,-3611.7240391684513
-5.2322,-3614.1261542298616
-5.2311,-3616.5347061445095
-5.23,-3618.951836554316
-5.2289,-3621.3796714831456
-5.2278,-3623.8203219265433
-5.2267,-3626.2758844391424
-5.2256,-3628.748441719655
-5.2245,-3631.2400631937658
-5.2234,-3633.752805594911
-5.2223,-3636.288713543427
-5.2212,-3638.849820123912
-5.2201,-3641.438147461302
-5.219,-3644.05570729548
-5.2179,-3646.7045015550775
-5.2168,-3649.3865229301045
-5.2157,-3652.1037554440572
-5.2146,-3654.8581750254434
-5.2135,-3657.6517500789905
-5.2124,-3660.486442056664
-5.2113,-3663.3642060288166
-5.2102,-3666.28699125556
-5.2091,-3669.256741758537
-5.208,-3672.2753968933866
-5.2069,-3675.3448919230404
-5.2058,-3678.467158592063
-5.2047,-3681.6441257023075
-5.2036,-3684.877719689882
-5.2025,-3688.1698652040236
-5.2014,-3691.5224856876303
-5.2003,-3694.9375039600923
-5.1992,-3698.416842802326
-5.1981,-3701.962425544456
-5.197,-3705.5761766561686
-5.1959,-3709.2600223402474
-5.1948,-3713.0158911291896
-5.1937,-3716.845714485418
-5.1926,-3720.751427405182
-5.1915,-3724.734969026449
-5.1904,-3728.7982832410366
-5.1893,-3732.943319311211
-5.1882,-3737.1720324910484
-5.1871,-3741.4863846528315
-5.186,-3745.888344918685
-5.1849,-3750.379890297799
-5.1838,-3754.9630063294844
-5.1827,-3759.639687732409
-5.1815999999999995,-3764.411939060157
-5.1805,-3769.281775363627
-5.1794,-3774.251222860383
-5.1783,-3779.3223196113167
-5.1772,-3784.497116205121
-5.1761,-3789.7776764505606
-5.175,-3795.166078077179
-5.1739,-3800.664413444675
-5.1728,-3806.274790261165
-5.1716999999999995,-3811.9993323110093
-5.1706,-3817.8401801921805
-5.1695,-3823.7994920638284
-5.1684,-3829.879444404364
-5.1673,-3836.0822327803053
-5.1662,-3842.410072626604
-5.1651,-3848.865200038404
-5.164,-3855.449872575178
-5.1629,-3862.166370077269
-5.1617999999999995,-3869.016995495393
-5.1607,-3876.004075733725
-5.1596,-3883.129962506814
-5.1585,-3890.3970332108966
-5.1574,-3897.8076918101287
-5.1563,-3905.364369738192
-5.1552,-3913.0695268158147
-5.1541,-3920.925652184785
-5.153,-3928.935265258839
-5.1518999999999995,-3937.1009166922768
-5.1508,-3945.425189366549
-5.1497,-3953.9106993957075
-5.1486,-3962.5600971510917
-5.1475,-3971.3760683060427
-5.1464,-3980.3613349012207
-5.1453,-3989.5186564312075
-5.1442,-3998.850830953044
-5.1431,-4008.3606962174995
-5.1419999999999995,-4018.0511308236155
-5.1409,-4027.925055397538
-5.1398,-4037.9854337961865
-5.1387,-4048.2352743364877
-5.1376,-4058.677631051388
-5.1365,-4069.315604972959
-5.1354,-4080.1523454438984
-5.1343,-4091.191051457945
-5.1332,-4102.434973030513
-5.1321,-4113.887412600154
-5.131,-4125.5517264619375
-5.1299,-4137.431326233892
-5.1288,-4149.529680357283
-5.1277,-4161.850315632014
-5.1266,-4174.396818788159
-5.1255,-4187.1728380946815
-5.1244,-4200.182085006793
-5.1233,-4213.428335852695
-5.1222,-4226.9154335615185
-5.1211,-4240.647289433152
-5.12,-4254.627884951884
-5.1189,-4268.86127364464
-5.1178,-4283.351582985733
-5.1167,-4298.103016349298
-5.1156,-4313.119855010996
-5.1145,-4328.406460200494
-5.1134,-4343.967275206559
-5.1123,-4359.806827536056
-5.1112,-4375.929731128824
-5.1101,-4392.340688630243
-5.109,-4409.044493723128
-5.1079,-4426.0460335209455
-5.1068,-4443.350291024443
-5.1057,-4460.962347643408
-5.1046,-4478.88738578605
-5.1035,-4497.130691517674
-5.1024,-4515.697657291621
-5.1013,-4534.593784753773
-5.1002,-4553.824687624145
-5.0991,-4573.396094657083
-5.098,-4593.313852683313
-5.0969,-4613.583929736129
-5.0958,-4634.212418264503
-5.0947,-4655.205538436266
-5.0936,-4676.569641533742
-5.0925,-4698.311213445611
-5.0914,-4720.43687825741
-5.0903,-4742.953401944579
-5.0892,-4765.867696170944
-5.0881,-4789.186822196602
-5.087,-4812.917994898434
-5.0859,-4837.068586907263
-5.0847999999999995,-4861.646132865516
-5.0837,-4886.658333809339
-5.0826,-4912.113061679652
-5.0815,-4938.018363965925
-5.0804,-4964.382468487824
-5.0793,-4991.213788319007
-5.0782,-5018.520926858143
-5.0771,-5046.3126830517995
-5.076,-5074.598056774979
-5.0748999999999995,-5103.3862543742825
-5.0738,-5132.686694379513
-5.0727,-5162.509013389019
-5.0716,-5192.86307213638
-5.0705,-5223.758961742474
-5.0694,-5255.207010161125
-5.0683,-5287.21778882457
-5.0672,-5319.802119495517
-5.0661,-5352.9710813336005
-5.0649999999999995,-5386.7360181832955
-5.0639,-5421.108546091477
-5.0628,-5456.100561062913
-5.0617,-5491.7242470615465
-5.0606,-5527.9920842672545
-5.0595,-5564.916857596637
-5.0584,-5602.511665497675
-5.0573,-5640.789929027846
-5.0562,-5679.765401226569
-5.0550999999999995,-5719.45217679203
-5.054,-5759.864702074069
-5.0529,-5801.01778539444
-5.0518,-5842.926607706526
-5.0507,-5885.606733607139
-5.0496,-5929.074122713481
-5.0485,-5973.345141418807
-5.0474,-6018.4365750408415
-5.0463,-6064.365640377829
-5.0451999999999995,-6111.149998687628
-5.0441,-6158.807769105348
-5.043,-6207.35754251697
-5.0419,-6256.818395905289
-5.0408,-6307.209907187096
-5.0397,-6358.552170559968
-5.0386,-6410.865812378211
-5.0375,-6464.172007578702
-5.0364,-6518.492496677456
-5.035299999999999,-6573.849603359819
-5.0342,-6630.266252686341
-5.0331,-6687.76598993994
-5.032,-6746.373000137928
-5.0309,-6806.112128236492
-5.0298,-6867.008900054351
-5.0287,-6929.0895439441665
-5.0276,-6992.381013242065
-5.0265,-7056.911009525643
-5.0254,-7122.708006714105
-5.0243,-7189.8012760430065
-5.0232,-7258.220911950556
-5.0221,-7327.9978589116245
-5.021,-7399.163939258537
-5.0199,-7471.751882028971
-5.0188,-7545.79535288319
-5.0177,-7621.328985135177
-5.0166,-7698.388411943178
-5.0155,-7777.01029970892
-5.0144,-7857.232382734884
-5.0133,-7939.093499193487
-5.0122,-8022.633628462923
-5.0111,-8107.893929887697
-5.01,-8194.916783024084
-5.0089,-8283.745829434516
-5.0078,-8374.426016096355
-5.0067,-8467.00364049543
-5.0056,-8561.526397476448
-5.0045,-8658.043427926497
-5.0034,-8756.605369371908
-5.0023,-8857.264408571857
-5.0012,-8960.074336196054
-5.0001,-9065.090603679224
-4.999,-9172.370382347855
-4.9979,-9281.972624920909
-4.9968,-9393.958129489907
-4.9957,-9508.3896060906
-4.9946,-9625.33174598093
-4.9935,-9744.851293750236
-4.9924,-9867.017122386209
-4.9913,-9991.900311435233
-4.9902,-10119.574228398065
-4.9891,-10250.114613509242
-4.9879999999999995,-10383.599668056786
-4.9869,-10520.11014640596
-4.9858,-10659.729451901221
-4.9847,-10802.543736825248
-4.9836,-10948.64200660857
-4.9825,-11098.11622848889
-4.9814,-11251.061444831363
-4.9803,-11407.575891332395
-4.9792,-11567.76112033992
-4.9780999999999995,-11731.722129536924
-4.977,-11899.567496246478
-4.9759,-12071.409517631742
-4.9748,-12247.364357076636
